iter	MultiClass
0	2.057462658
1	1.837044377
2	1.685493556
3	1.576403528
4	1.459340913
5	1.36782221
6	1.279331584
7	1.195151243
8	1.127242237
9	1.063964121
10	1.006379684
11	0.9556393294
12	0.9101817809
13	0.8765193581
14	0.8403937944
15	0.8022873131
16	0.7724719827
17	0.7407006299
18	0.7143924938
19	0.6890778218
20	0.6632763942
21	0.6435637037
22	0.6239910808
23	0.6051413699
24	0.5857947536
25	0.5730451966
26	0.5564105514
27	0.5403538413
28	0.5257860206
29	0.5111332495
30	0.5002370829
31	0.4903408061
32	0.4801071169
33	0.468128801
34	0.4590649502
35	0.4503465129
36	0.4422510911
37	0.4316962219
38	0.4229068932
39	0.4141722499
40	0.4093563245
41	0.403174333
42	0.3950801991
43	0.3855703862
44	0.3803214316
45	0.3750429674
46	0.3682630097
47	0.3598200786
48	0.3534584055
49	0.3490812115
50	0.3439258095
51	0.3386565615
52	0.334847879
53	0.3290409374
54	0.323841693
55	0.31919985
56	0.3142072035
57	0.3089397897
58	0.3052520178
59	0.3025625116
60	0.2980463962
61	0.2951330604
62	0.2906505857
63	0.2872668144
64	0.2837089379
65	0.2800511812
66	0.276310053
67	0.2724171856
68	0.2697239846
69	0.2669812212
70	0.2626581003
71	0.2596887543
72	0.2576026018
73	0.2547738852
74	0.2530763786
75	0.2490549967
76	0.2462801397
77	0.2422912083
78	0.23989332
79	0.2373140029
80	0.2334178837
81	0.2307059907
82	0.2278386012
83	0.2263637712
84	0.2235974941
85	0.2216552118
86	0.2191510976
87	0.2179869234
88	0.2165572044
89	0.2149094129
90	0.212168111
91	0.2106347814
92	0.2087203642
93	0.2068266706
94	0.2053344727
95	0.2030780482
96	0.2024723374
97	0.199686668
98	0.1980413843
99	0.1970985321
100	0.1948585248
101	0.1935257537
102	0.1915241511
103	0.1896966644
104	0.188331672
105	0.1874457465
106	0.1851532516
107	0.1836124669
108	0.1813228056
109	0.1790072824
110	0.1770276545
111	0.1753224957
112	0.174089105
113	0.1729394322
114	0.1711069743
115	0.170373451
116	0.1695826231
117	0.1681618074
118	0.1674689836
119	0.1661342824
120	0.1649468979
121	0.1638819357
122	0.1617199226
123	0.1600648977
124	0.1588188683
125	0.1574238828
126	0.1559205394
127	0.1553251802
128	0.1542972846
129	0.1527874053
130	0.15091112
131	0.1497875019
132	0.1494593245
133	0.1483073983
134	0.1471473434
135	0.1458479544
136	0.1445769982
137	0.1429625741
138	0.1416299533
139	0.1409282623
140	0.1397876726
141	0.1391196451
142	0.1377300455
143	0.1358495574
144	0.1347582286
145	0.133826281
146	0.1326361984
147	0.1317899454
148	0.1307876947
149	0.1295907607
150	0.1286667355
151	0.127766675
152	0.1272423952
153	0.1259879613
154	0.1255185047
155	0.1245685118
156	0.1236459682
157	0.122172726
158	0.121591721
159	0.1203998264
160	0.1189614819
161	0.1180404114
162	0.1172451451
163	0.116802006
164	0.1158001891
165	0.1154277551
166	0.1141094008
167	0.1132764833
168	0.1120562507
169	0.1114684374
170	0.110841078
171	0.1101131818
172	0.1098469904
173	0.1093912192
174	0.1081895032
175	0.1075356106
176	0.1071990401
177	0.1064386228
178	0.1060792334
179	0.1053996135
180	0.1047335383
181	0.1043457052
182	0.103560828
183	0.1031155958
184	0.1027050827
185	0.1018366762
186	0.100998717
187	0.1001810484
188	0.09988098721
189	0.09931572992
190	0.09850588373
191	0.09795295237
192	0.09760059879
193	0.09723228047
194	0.09656794905
195	0.09562232796
196	0.09530224479
197	0.09451800901
198	0.0935924313
199	0.09297343566
200	0.09244240611
201	0.09186451217
202	0.09147316443
203	0.09088906683
204	0.09047726444
205	0.09004716252
206	0.08972004637
207	0.08920372435
208	0.08874155433
209	0.08822039202
210	0.08742271559
211	0.08719340076
212	0.08685431129
213	0.08611610361
214	0.08578373911
215	0.0853311129
216	0.08466687467
217	0.08431433984
218	0.08378769593
219	0.0833159953
220	0.08301746816
221	0.08261480945
222	0.08182983323
223	0.08147621766
224	0.08073705844
225	0.08050775337
226	0.08006747796
227	0.07937779529
228	0.07886794877
229	0.07843835289
230	0.07814388896
231	0.07761852581
232	0.07733675877
233	0.07695233261
234	0.07649669693
235	0.07596121299
236	0.07544159493
237	0.07490811221
238	0.07465538729
239	0.07437744336
240	0.07412217967
241	0.07364882364
242	0.07336887006
243	0.07310395604
244	0.07274658454
245	0.0723833211
246	0.071981715
247	0.07178394968
248	0.07142587416
249	0.07102042687
250	0.07076621318
251	0.07058053894
252	0.07040344924
253	0.07018533257
254	0.06995036795
255	0.06977040809
256	0.06957834393
257	0.0692834648
258	0.06908217043
259	0.06874009621
260	0.06851683609
261	0.06817858431
262	0.06780197404
263	0.06749989792
264	0.06721343013
265	0.06673016581
266	0.06658655114
267	0.06620333284
268	0.06588208072
269	0.06554441337
270	0.06518841054
271	0.06486534977
272	0.06450446403
273	0.0642232245
274	0.06379036758
275	0.06364736152
276	0.06340955175
277	0.06317212127
278	0.06272955065
279	0.06250907927
280	0.0624027539
281	0.06226782571
282	0.06200278492
283	0.0616769727
284	0.0614569906
285	0.06117295722
286	0.06082717669
287	0.06060626801
288	0.06044526467
289	0.06013125671
290	0.05984308281
291	0.05958071119
292	0.0592161984
293	0.05877721441
294	0.0585881861
295	0.05824968579
296	0.05810215505
297	0.05769607769
298	0.05731534132
299	0.05720472856
300	0.05714331611
301	0.05681641724
302	0.05656403079
303	0.05653974394
304	0.05621855141
305	0.05612792133
306	0.0557181344
307	0.05548018975
308	0.05531627834
309	0.05510110704
310	0.05484655653
311	0.05474452335
312	0.05469893589
313	0.05444568133
314	0.05417145648
315	0.05394277617
316	0.05377746655
317	0.05345078441
318	0.05333702938
319	0.05307924182
320	0.05274683739
321	0.0525502472
322	0.05244291409
323	0.05225704446
324	0.05213893449
325	0.05203026044
326	0.05170467452
327	0.05140640317
328	0.05126101563
329	0.05099511645
330	0.05078322179
331	0.05064101761
332	0.05029164784
333	0.05019266385
334	0.04982664069
335	0.04961426478
336	0.04935143229
337	0.0491335861
338	0.04905934024
339	0.0488305907
340	0.04845895844
341	0.04833926066
342	0.04817910072
343	0.04806458076
344	0.04796017384
345	0.04786881757
346	0.0476655061
347	0.04755637074
348	0.04750372432
349	0.04730554643
350	0.04706085732
351	0.0469939663
352	0.04687382042
353	0.04667313006
354	0.04648591011
355	0.04636746356
356	0.04627413956
357	0.04611740522
358	0.04608824066
359	0.04595416046
360	0.04574671238
361	0.04567714499
362	0.04555095955
363	0.04529403243
364	0.04512144383
365	0.04499193969
366	0.04482120935
367	0.04461471563
368	0.04447950442
369	0.04435910553
370	0.04425583338
371	0.04415299904
372	0.04412054588
373	0.04397973788
374	0.04376725585
375	0.04370438995
376	0.04361812939
377	0.04356896116
378	0.04341750001
379	0.04319892998
380	0.04301924853
381	0.04283381934
382	0.0427366642
383	0.0426112648
384	0.04256076065
385	0.0424077591
386	0.04233006942
387	0.04224860248
388	0.04211792584
389	0.04194797804
390	0.04167122075
391	0.04157400906
392	0.04137288663
393	0.04118196949
394	0.04107954847
395	0.04083789042
396	0.04065664931
397	0.04046917729
398	0.0403588033
399	0.04014458696
400	0.0401048917
401	0.03999148506
402	0.03990637648
403	0.03983255149
404	0.03961236893
405	0.03952998373
406	0.03942128964
407	0.03921184156
408	0.03908125232
409	0.03892864722
410	0.03880772844
411	0.03861735197
412	0.03852738068
413	0.03834858926
414	0.0382655398
415	0.03821470191
416	0.03811239188
417	0.037929977
418	0.03778072777
419	0.03771940661
420	0.03762784889
421	0.03746686829
422	0.03739983567
423	0.03716963883
424	0.03705513537
425	0.0369051584
426	0.03684257121
427	0.03669529149
428	0.03663777303
429	0.03656292319
430	0.03649627522
431	0.03637504958
432	0.03628701288
433	0.0362132426
434	0.03613923783
435	0.03606802065
436	0.03593123669
437	0.03579678551
438	0.03569917486
439	0.03556366556
440	0.03547046804
441	0.03543339715
442	0.0353634813
443	0.03531051249
444	0.03525327958
445	0.03514414232
446	0.03499305469
447	0.03484427011
448	0.03475926991
449	0.03466359839
450	0.03462778337
451	0.03450101404
452	0.03433678362
453	0.03425530722
454	0.0341075859
455	0.03394319994
456	0.03388420292
457	0.03374794945
458	0.03368037295
459	0.03357027121
460	0.03348902225
461	0.03338809962
462	0.03329804086
463	0.03317381514
464	0.03314081626
465	0.03307183829
466	0.03292624243
467	0.03290373488
468	0.03281634646
469	0.03273487766
470	0.03265801664
471	0.03252945814
472	0.03246320263
473	0.03242391873
474	0.03237915415
475	0.03234150595
476	0.03226023737
477	0.03217834086
478	0.03209040756
479	0.03203118652
480	0.03190956573
481	0.03185967648
482	0.03181820362
483	0.03177179901
484	0.03165221066
485	0.03157268599
486	0.03148825635
487	0.03134264752
488	0.03123130106
489	0.03111046905
490	0.03092499358
491	0.03086963001
492	0.03082873673
493	0.03078784142
494	0.03071708046
495	0.03061167835
496	0.03059537105
497	0.03046564843
498	0.0303765392
499	0.0303153575
500	0.03025780347
501	0.03020451196
502	0.0300207685
503	0.02996941893
504	0.02994128194
505	0.02988139609
506	0.02982681068
507	0.02974756512
508	0.02970319917
509	0.02958954196
510	0.02948074833
511	0.0294734975
512	0.02941554535
513	0.02927162851
514	0.02921763195
515	0.02916704265
516	0.02905661586
517	0.02898089953
518	0.02890319053
519	0.02885356331
520	0.02879308415
521	0.0287675225
522	0.02870826052
523	0.02859375032
524	0.02854625034
525	0.02844114642
526	0.02838106096
527	0.02832351476
528	0.02826948541
529	0.02819637217
530	0.02814407587
531	0.0280898752
532	0.02803244682
533	0.02793685995
534	0.02784456831
535	0.02780445561
536	0.02772843418
537	0.0276218419
538	0.02757809589
539	0.02751988968
540	0.02744591527
541	0.02741275784
542	0.02731216095
543	0.02721866159
544	0.02717366565
545	0.0271561355
546	0.0271025835
547	0.027034335
548	0.02696357499
549	0.02693900552
550	0.02689471034
551	0.02673830689
552	0.02670872734
553	0.0266202057
554	0.02659423791
555	0.0265577475
556	0.02649475314
557	0.02642933909
558	0.02631774278
559	0.02624287597
560	0.02616576557
561	0.02613663916
562	0.02611430774
563	0.02604416099
564	0.02597067199
